date,meme,index,benchmarked_index,twitter_id
2/19/17,United Airlines Passenger Removal,0.1,0.1,851602092468731906
2/19/17,Game of Thrones,6.0,2.0,892008967160958976
2/19/17,What in Tarnation,8.0,5.0,819377307018231808
2/19/17,Student Athlete,0.1,0.1,840618151117111296
2/19/17,Ben Swolo,0.1,0.1,941587160783659008
2/19/17,Cash Me Outside,14.0,14.0,809084339887734790
2/26/17,Salt Bae,18.0,6.0,817901590141161472
2/26/17,The Ting Goes,2.0,0.1,904208633386369024
2/26/17,Obama & Biden Bromance,5.0,1.0,820045837891870720
2/26/17,Sad Melania,3.0,0.1,823345977029378048
2/26/17,Trump Holding Executive Orders,9.0,1.0,826314938872246273
2/26/17,The Oscars Snafu,100.0,14.0,836084689752494080
2/26/17,Crying Northwestern Kid,15.0,0.1,843242225463046145
2/26/17,Babadook,2.0,0.1,871144014484873217
2/26/17,The Snapchat Hot Dog,2.0,1.0,884621965209858048
2/26/17,Distracted Boyfriend,1.0,0.1,899935787227262976
2/26/17,Joel Osteen Hiding from Harvey Victims,0.1,0.1,902324163339096064
2/26/17,Elf on the Shelf Rhymes,0.1,0.1,908300412884865024
2/26/17,First of All,1.0,0.1,919670609910685703
2/26/17,#BowWowChallenge,0.1,0.1,862294898501931008
2/26/17,Crash Bandicoot Woah,11.0,1.0,892798447362953216
2/26/17,"Brother, May I have some Oats",6.0,0.1,785681417078345728
2/26/17,Side-eyeing Michelle Obama,10.0,1.0,822526328394158081
2/26/17,Dancing Winnie the Pooh,12.0,0.1,825977359643840513
2/26/17,Tiny Trump,17.0,1.0,832627609234075650
2/26/17,RompHim,0.1,0.1,864550584006971397
2/26/17,Shooting Stars,98.0,20.0,841420725747507201
2/26/17,Cracking Open a Cold One with the Boys,0.1,0.1,869692034319237120
2/26/17,Roll Safe,50.0,7.0,826511751151771649
2/26/17,White Guy Blinking,69.0,12.0,832939284948779010
2/26/17,Meryl Streep Singing,3.0,0.1,843514431590031366
2/26/17,"Kendrick Lamar ""DAMN"" Cover",8.0,0.1,851798361841840129
2/26/17,Kellyanne Conway on the Couch,100.0,12.0,836402961030881280
2/26/17,What Redbone Sounds Like,1.0,0.1,863645128929361920
2/26/17,Mocking Spongebob,0.1,0.1,861717771859755008
2/26/17,The Future Liberals Want,100.0,4.0,837316461077069824
2/26/17,Expanding Brain,87.0,2.0,831329672558424064
2/26/17,The Floor Is,1.0,0.1,724263091383484416
2/26/17,Kendall Jenner's Pepsi Ad,2.0,0.1,849404357485481984
2/26/17,Fidget Spinners,2.0,0.1,865601318483746817
2/26/17,Pennywise Dancing,0.1,0.1,908437160407257088
2/26/17,"Homeboy's gonna, like, get it",0.1,0.1,916988637866229761
2/26/17,Trump's Glowing Orb,2.0,0.1,866390578258464770
2/26/17,George Bush's Poncho,10.0,0.1,822501259164995584
